Punto de entrega,FECHA_LECT,HORA_LECT,KWH_DEL_INT,KWH_REC_INT,VII_AVG_MEAN,KVARH_Q1_INT,KVARH_Q2_INT,KVARH_Q3_INT,KVARH_Q4_INT,POT_ACT_FACT
08119ELSTERA1800,02/03/2024,10:30:00,0.057625,0.000000,0.000000,0.025750,0.000000,0.000000,0.000000,0.230500
08119ELSTERA1800,02/03/2024,10:45:00,0.056725,0.000000,0.000000,0.026575,0.000000,0.000000,0.000000,0.226900
08119ELSTERA1800,02/03/2024,11:00:00,0.055750,0.000000,0.000000,0.022975,0.000000,0.000000,0.000000,0.223000
08119ELSTERA1800,02/03/2024,11:15:00,0.059100,0.000000,0.000000,0.033000,0.000000,0.000000,0.000000,0.236400
08119ELSTERA1800,02/03/2024,11:30:00,0.071850,0.000000,0.000000,0.033500,0.000000,0.000000,0.000000,0.287400
08119ELSTERA1800,02/03/2024,11:45:00,0.070100,0.000000,0.000000,0.029850,0.000000,0.000000,0.000000,0.280400
08119ELSTERA1800,02/03/2024,12:00:00,0.074850,0.000000,0.000000,0.028650,0.000000,0.000000,0.000000,0.299400
08119ELSTERA1800,02/03/2024,12:15:00,0.074400,0.000000,0.000000,0.034600,0.000000,0.000000,0.000000,0.297600
08119ELSTERA1800,02/03/2024,12:30:00,0.069800,0.000000,0.000000,0.044850,0.000000,0.000000,0.000000,0.279200
08119ELSTERA1800,02/03/2024,12:45:00,0.065575,0.000000,0.000000,0.043550,0.000000,0.000000,0.000000,0.262300
08119ELSTERA1800,02/03/2024,13:00:00,0.065975,0.000000,0.000000,0.040350,0.000000,0.000000,0.000000,0.263900
08119ELSTERA1800,02/03/2024,13:15:00,0.069925,0.000000,0.000000,0.040350,0.000000,0.000000,0.000000,0.279700
08119ELSTERA1800,02/03/2024,13:30:00,0.066125,0.000000,0.000000,0.032275,0.000000,0.000000,0.000000,0.264500
08119ELSTERA1800,02/03/2024,13:45:00,0.062750,0.000000,0.000000,0.028650,0.000000,0.000000,0.000000,0.251000
08119ELSTERA1800,02/03/2024,14:00:00,0.059625,0.000000,0.000000,0.021425,0.000000,0.000000,0.000000,0.238500
08119ELSTERA1800,02/03/2024,14:15:00,0.057650,0.000000,0.000000,0.018550,0.000000,0.000000,0.000000,0.230600
08119ELSTERA1800,02/03/2024,14:30:00,0.051850,0.000000,0.000000,0.017725,0.000000,0.000000,0.000000,0.207400
08119ELSTERA1800,02/03/2024,14:45:00,0.051375,0.000000,0.000000,0.017925,0.000000,0.000000,0.000000,0.205500
08119ELSTERA1800,02/03/2024,15:00:00,0.053750,0.000000,0.000000,0.020200,0.000000,0.000000,0.000000,0.215000
08119ELSTERA1800,02/03/2024,15:15:00,0.058825,0.000000,0.000000,0.024225,0.000000,0.000000,0.000000,0.235300
08119ELSTERA1800,02/03/2024,15:30:00,0.059400,0.000000,0.000000,0.024450,0.000000,0.000000,0.000000,0.237600
08119ELSTERA1800,02/03/2024,15:45:00,0.051650,0.000000,0.000000,0.020475,0.000000,0.000000,0.000000,0.206600
08119ELSTERA1800,02/03/2024,16:00:00,0.054750,0.000000,0.000000,0.022600,0.000000,0.000000,0.000000,0.219000
08119ELSTERA1800,02/03/2024,16:15:00,0.052525,0.000000,0.000000,0.022175,0.000000,0.000000,0.000000,0.210100
08119ELSTERA1800,02/03/2024,16:30:00,0.052575,0.000000,0.000000,0.024625,0.000000,0.000000,0.000000,0.210300
08119ELSTERA1800,02/03/2024,16:45:00,0.055700,0.000000,0.000000,0.029150,0.000000,0.000000,0.000000,0.222800
08119ELSTERA1800,02/03/2024,17:00:00,0.053725,0.000000,0.000000,0.023175,0.000000,0.000000,0.000000,0.214900
08119ELSTERA1800,02/03/2024,17:15:00,0.047900,0.000000,0.000000,0.020150,0.000000,0.000000,0.000000,0.191600
08119ELSTERA1800,02/03/2024,17:30:00,0.059500,0.000000,0.000000,0.023650,0.000000,0.000000,0.000000,0.238000
08119ELSTERA1800,02/03/2024,17:45:00,0.051675,0.000000,0.000000,0.017250,0.000000,0.000000,0.000000,0.206700
08119ELSTERA1800,02/03/2024,18:00:00,0.047050,0.000000,0.000000,0.014475,0.000000,0.000000,0.000000,0.188200
08119ELSTERA1800,02/03/2024,18:15:00,0.045300,0.000000,0.000000,0.014450,0.000000,0.000000,0.000000,0.181200
08119ELSTERA1800,02/03/2024,18:30:00,0.046250,0.000000,0.000000,0.013375,0.000000,0.000000,0.000000,0.185000
08119ELSTERA1800,02/03/2024,18:45:00,0.063175,0.000000,0.000000,0.020675,0.000000,0.000000,0.000000,0.252700
08119ELSTERA1800,02/03/2024,19:00:00,0.077600,0.000000,0.000000,0.020250,0.000000,0.000000,0.000000,0.310400
08119ELSTERA1800,02/03/2024,19:15:00,0.078875,0.000000,0.000000,0.020675,0.000000,0.000000,0.000000,0.315500
08119ELSTERA1800,02/03/2024,19:30:00,0.078450,0.000000,0.000000,0.017800,0.000000,0.000000,0.000000,0.313800
08119ELSTERA1800,02/03/2024,19:45:00,0.077475,0.000000,0.000000,0.017825,0.000000,0.000000,0.000000,0.309900
08119ELSTERA1800,02/03/2024,20:00:00,0.078775,0.000000,0.000000,0.018300,0.000000,0.000000,0.000000,0.315100
08119ELSTERA1800,02/03/2024,20:15:00,0.077950,0.000000,0.000000,0.017975,0.000000,0.000000,0.000000,0.311800
08119ELSTERA1800,02/03/2024,20:30:00,0.079575,0.000000,0.000000,0.019375,0.000000,0.000000,0.000000,0.318300
08119ELSTERA1800,02/03/2024,20:45:00,0.075525,0.000000,0.000000,0.017050,0.000000,0.000000,0.000000,0.302100
08119ELSTERA1800,02/03/2024,21:00:00,0.076275,0.000000,0.000000,0.018300,0.000000,0.000000,0.000000,0.305100
08119ELSTERA1800,02/03/2024,21:15:00,0.073850,0.000000,0.000000,0.018375,0.000000,0.000000,0.000000,0.295400
